gene_id	tx_id(s)[RSEM]	tx_id(s)[tranquant]	tx_id_agreement	length[RSEM]	length[tranquant]	TPM[RSEM]	TPM[tranquant]	tpm_equality	tpm_difference
ENSMUSG00000086219	ENSMUST00000126959,ENSMUST00000133548	ENSMUST00000133548,ENSMUST00000126959	True	3360.00	26776	7.81	1.1821308695528172	False	6.627869130447182
ENSMUSG00000053801	ENSMUST00000107723,ENSMUST00000131384,ENSMUST00000150188,ENSMUST00000156070	ENSMUST00000131384,ENSMUST00000107723	False	1764.00	5722	0.45	0.3213471092021964	False	0.12865289079780362
ENSMUSG00000060803	ENSMUST00000169613	ENSMUST00000169613	True	744.00	2579	26.00	8.40285399133301	False	17.59714600866699
ENSMUSG00000021286	ENSMUST00000021714	ENSMUST00000021714	True	1310.00	18023	1.91	0.16032077858771449	False	1.7496792214122854
ENSMUSG00000034472	ENSMUST00000132133,ENSMUST00000139848	ENSMUST00000139848,ENSMUST00000132133	True	2810.00	10170	1.03	0.3745167622334181	False	0.6554832377665819
ENSMUSG00000020476	ENSMUST00000020769,ENSMUST00000102928,ENSMUST00000109845	ENSMUST00000109845,ENSMUST00000020769,ENSMUST00000102928	True	2231.79	12475	6.97	3.7269788046645216	False	3.243021195335478
ENSMUSG00000037275	ENSMUST00000035604,ENSMUST00000102711,ENSMUST00000134733,ENSMUST00000134953,ENSMUST00000172035	ENSMUST00000035604,ENSMUST00000102711,ENSMUST00000134733,ENSMUST00000134953,ENSMUST00000172035	True	3987.60	48538	5.59	1.6478953584859515	False	3.9421046415140486
ENSMUSG00000025821	ENSMUST00000061890,ENSMUST00000125957	ENSMUST00000061890,ENSMUST00000125957	True	4812.69	31282	2.78	0.554209077262268	False	2.225790922737732
ENSMUSG00000022790	ENSMUST00000023478,ENSMUST00000114706	ENSMUST00000114706,ENSMUST00000023478	True	2634.18	134489	17.83	0.6543080349815272	False	17.175691965018473
ENSMUSG00000085274	ENSMUST00000155786	ENSMUST00000155786	True	847.00	1351	3.57	2.527622508735813	False	1.0423774912641868
ENSMUSG00000087363	ENSMUST00000131707,ENSMUST00000149000	ENSMUST00000149000,ENSMUST00000131707	True	699.07	3866	1.18	0.237810160224388	False	0.9421898397756119
ENSMUSG00000020170	ENSMUST00000020381	ENSMUST00000020381	True	5682.00	79108	7.45	0.6358762206111109	False	6.814123779388889
ENSMUSG00000050423	ENSMUST00000132661,ENSMUST00000172766	ENSMUST00000132661	False	2361.00	11550	0.66	0.15919897479263792	False	0.5008010252073621
ENSMUSG00000016087	ENSMUST00000016231,ENSMUST00000183767	ENSMUST00000016231,ENSMUST00000183767	True	1832.13	120658	7.00	0.18178354317207054	False	6.81821645682793
ENSMUSG00000016256	ENSMUST00000016400	ENSMUST00000016400	True	1441.00	11547	2.36	0.3412292912546798	False	2.01877070874532
ENSMUSG00000074736	ENSMUST00000109934,ENSMUST00000109935,ENSMUST00000137280,ENSMUST00000140870,ENSMUST00000144179,ENSMUST00000149705	ENSMUST00000109935,ENSMUST00000109934,ENSMUST00000149705	False	2050.00	175182	4.32	0.12070648712100635	False	4.199293512878994
ENSMUSG00000000776	ENSMUST00000000793,ENSMUST00000180358	ENSMUST00000000793,ENSMUST00000180358	True	2017.00	4691	1.72	1.7358830868990471	False	0.01588308689904716
ENSMUSG00000080937	ENSMUST00000118659	ENSMUST00000118659	True	429.00	429	0.29	0.3061518746012268	False	0.0161518746012268
ENSMUSG00000052798	ENSMUST00000064848,ENSMUST00000167943	ENSMUST00000064848,ENSMUST00000167943	True	3098.00	42085	3.09	0.5242955425034956	False	2.565704457496504
ENSMUSG00000029718	ENSMUST00000031731,ENSMUST00000054564,ENSMUST00000124693,ENSMUST00000128755,ENSMUST00000131703,ENSMUST00000136649,ENSMUST00000137210,ENSMUST00000142675,ENSMUST00000146589,ENSMUST00000148662,ENSMUST00000155251	ENSMUST00000128755,ENSMUST00000031731,ENSMUST00000146589,ENSMUST00000054564,ENSMUST00000131703,ENSMUST00000136649,ENSMUST00000142675,ENSMUST00000155251,ENSMUST00000124693,ENSMUST00000148662,ENSMUST00000137210	True	1066.31	8682	5.06	3.8273215864539676	False	1.232678413546032
ENSMUSG00000019794	ENSMUST00000019929,ENSMUST00000165806,ENSMUST00000172400,ENSMUST00000173400,ENSMUST00000173511,ENSMUST00000174007	ENSMUST00000019929,ENSMUST00000165806,ENSMUST00000173400,ENSMUST00000172400,ENSMUST00000174007,ENSMUST00000173511	True	1415.20	37151	2.48	0.34645735274917966	False	2.1335426472508203
ENSMUSG00000022450	ENSMUST00000023085	ENSMUST00000023085	True	560.00	4183	10.71	1.5699157805872135	False	9.140084219412788
ENSMUSG00000000384	ENSMUST00000000394,ENSMUST00000131313,ENSMUST00000131477,ENSMUST00000131815,ENSMUST00000132446,ENSMUST00000134016,ENSMUST00000136682,ENSMUST00000144463,ENSMUST00000150697,ENSMUST00000151008,ENSMUST00000156969	ENSMUST00000156969,ENSMUST00000000394,ENSMUST00000150697,ENSMUST00000134016,ENSMUST00000131477,ENSMUST00000132446,ENSMUST00000151008,ENSMUST00000131313,ENSMUST00000136682,ENSMUST00000131815,ENSMUST00000144463	True	2295.53	10470	4.97	4.553592452342429	False	0.4164075476575704
ENSMUSG00000006378	ENSMUST00000006544,ENSMUST00000058004,ENSMUST00000171999	ENSMUST00000006544	False	2365.00	7480	0.95	0.3511742091014072	False	0.5988257908985928
ENSMUSG00000072109	ENSMUST00000093501,ENSMUST00000159087,ENSMUST00000161150,ENSMUST00000161666,ENSMUST00000162353,ENSMUST00000162453	ENSMUST00000162353	False	2017.00	8090	0.13	0.09740851980513693	False	0.032591480194863076
ENSMUSG00000081752	ENSMUST00000121773,ENSMUST00000180338	ENSMUST00000121773	False	1101.00	1101	5.59	20.04085186762908	False	14.45085186762908
ENSMUSG00000090363	ENSMUST00000090663,ENSMUST00000172431	ENSMUST00000172431	False	1861.00	21023	3.24	0.7496883653365911	False	2.490311634663409
ENSMUSG00000087075	ENSMUST00000150384	ENSMUST00000150384	True	657.00	5282	0.54	0.07459626327371807	False	0.465403736726282
ENSMUSG00000025212	ENSMUST00000062213,ENSMUST00000084493,ENSMUST00000111954	ENSMUST00000111954,ENSMUST00000062213,ENSMUST00000084493	True	2864.83	8881	49.78	56.47835040026961	False	6.698350400269611
ENSMUSG00000035064	ENSMUST00000047875,ENSMUST00000106487,ENSMUST00000106488,ENSMUST00000106489,ENSMUST00000125828,ENSMUST00000128813,ENSMUST00000143279,ENSMUST00000143322,ENSMUST00000146482	ENSMUST00000047875,ENSMUST00000143279,ENSMUST00000106489,ENSMUST00000143322,ENSMUST00000106488,ENSMUST00000125828,ENSMUST00000146482,ENSMUST00000128813,ENSMUST00000106487	True	2160.25	64620	6.17	0.6442976150208082	False	5.5257023849791915
ENSMUSG00000092182	ENSMUST00000172891	ENSMUST00000172891	True	598.00	1497	3.19	1.4037584951655446	False	1.7862415048344553
ENSMUSG00000025243	ENSMUST00000026273,ENSMUST00000163397,ENSMUST00000164241,ENSMUST00000166800,ENSMUST00000168824,ENSMUST00000171122	ENSMUST00000026273,ENSMUST00000166800,ENSMUST00000171122,ENSMUST00000168824,ENSMUST00000163397,ENSMUST00000164241	True	3413.87	41766	1.31	0.5377339311610256	False	0.7722660688389744
ENSMUSG00000069622	ENSMUST00000092511	ENSMUST00000092511	True	1126.00	630	6.57	54.411935313055174	False	47.841935313055174
ENSMUSG00000027630	ENSMUST00000063988	ENSMUST00000063988	True	8127.00	139943	3.05	0.211166758579446	False	2.838833241420554
ENSMUSG00000025889	ENSMUST00000114268,ENSMUST00000163779	ENSMUST00000163779,ENSMUST00000114268	True	1235.21	98281	55.57	1.5755727231756806	False	53.99442727682432
ENSMUSG00000040829	ENSMUST00000039093,ENSMUST00000092958,ENSMUST00000108563,ENSMUST00000126105,ENSMUST00000136029,ENSMUST00000147289	ENSMUST00000108563,ENSMUST00000039093,ENSMUST00000147289,ENSMUST00000126105,ENSMUST00000136029,ENSMUST00000092958	True	885.65	6770	1.74	0.5626049441527123	False	1.1773950558472877
ENSMUSG00000085338	ENSMUST00000138424	ENSMUST00000138424	True	1187.00	6088	0.96	0.21573448456623895	False	0.744265515433761
ENSMUSG00000001751	ENSMUST00000001802,ENSMUST00000138409,ENSMUST00000140735	ENSMUST00000001802,ENSMUST00000140735,ENSMUST00000138409	True	2560.00	7661	0.87	0.4114527739060476	False	0.4585472260939524
ENSMUSG00000036733	ENSMUST00000042726,ENSMUST00000108141,ENSMUST00000140550	ENSMUST00000108141,ENSMUST00000042726,ENSMUST00000140550	True	1517.35	9319	7.31	3.03014466722225	False	4.27985533277775
ENSMUSG00000013150	ENSMUST00000013294,ENSMUST00000135959,ENSMUST00000155038	ENSMUST00000013294,ENSMUST00000155038,ENSMUST00000135959	True	4352.00	44811	1.43	0.1993051368161163	False	1.2306948631838837
ENSMUSG00000084845	ENSMUST00000127188,ENSMUST00000147721,ENSMUST00000176526	ENSMUST00000147721,ENSMUST00000176526,ENSMUST00000127188	True	3909.93	5765	1.30	1.5036225806520616	False	0.2036225806520615
ENSMUSG00000036949	ENSMUST00000082290,ENSMUST00000114731,ENSMUST00000133258	ENSMUST00000114731,ENSMUST00000082290	False	2675.00	106662	0.96	0.05417977147412158	False	0.9058202285258784
ENSMUSG00000037287	ENSMUST00000066148,ENSMUST00000066179,ENSMUST00000125995,ENSMUST00000128959,ENSMUST00000134374,ENSMUST00000138506,ENSMUST00000142775	ENSMUST00000125995,ENSMUST00000066148,ENSMUST00000066179,ENSMUST00000142775,ENSMUST00000138506,ENSMUST00000128959,ENSMUST00000134374	True	4596.87	95494	2.36	0.45387061896344977	False	1.90612938103655
ENSMUSG00000018565	ENSMUST00000108594,ENSMUST00000108595,ENSMUST00000123701,ENSMUST00000127437,ENSMUST00000138562,ENSMUST00000142788,ENSMUST00000143175,ENSMUST00000143788,ENSMUST00000147437,ENSMUST00000151766	ENSMUST00000142788,ENSMUST00000108594,ENSMUST00000123701,ENSMUST00000151766,ENSMUST00000127437,ENSMUST00000138562,ENSMUST00000143788,ENSMUST00000108595,ENSMUST00000147437,ENSMUST00000143175	True	887.32	14296	15.67	4.997796578548958	False	10.67220342145104
ENSMUSG00000053007	ENSMUST00000047450	ENSMUST00000047450	True	3038.00	413107	1.83	0.015896505530519488	False	1.8141034944694805
ENSMUSG00000086970	ENSMUST00000133586	ENSMUST00000133586	True	1239.00	1995	0.11	0.9875124376235058	False	0.8775124376235058
ENSMUSG00000036966	ENSMUST00000128884,ENSMUST00000139279,ENSMUST00000154032,ENSMUST00000156475	ENSMUST00000139279,ENSMUST00000154032,ENSMUST00000128884,ENSMUST00000156475	True	2456.00	19707	1.36	0.4132048287737063	False	0.9467951712262939
ENSMUSG00000062074	ENSMUST00000076713	ENSMUST00000076713	True	1418.00	12825	0.88	0.11264956695853327	False	0.7673504330414668
